class_id,common_name_en,common_name_ua,count
41,Monocytes [#/volume] in Blood by Automated count,"Моноцити [кількість/об'єм] у крові, автоматичний підрахунок",2735
42,Oxygen/Total gas setting [Volume Fraction] Ventilator,Частка кисню у дихальній суміші — налаштування вентилятора,2704
43,Metamyelocytes/Leukocytes in Blood,Метамієлоцити/Лейкоцити у крові,2464
44,pH of Blood,pH крові,2460
45,Erythrocytes [#/volume] in Urine sediment by Microscopy high power field,"Еритроцити [кількість/об'єм] в осаді сечі, мікроскопія (велике збільшення)",2330
46,Band form neutrophils [#/volume] in Blood by Manual count,"Паличкоядерні нейтрофіли [кількість/об'єм] у крові, ручний підрахунок",2310
47,Leukocytes [#/area] in Urine sediment by Microscopy high power field,"Лейкоцити [кількість/площу] в осаді сечі, мікроскопія (велике збільшення)",2270
48,Leukocyte esterase [Presence] in Urine by Test strip,"Лейкоцитарна естераза [наявність] у сечі, тест-смужка",2248
49,Variant lymphocytes [Presence] in Blood by Light microscopy,"Атипові лімфоцити [наявність] у крові, світлова мікроскопія",2112
50,Myelocytes/Leukocytes in Blood,Мієлоцити/Лейкоцити у крові,2112
51,Epithelial cells [#/area] in Urine sediment by Microscopy high power field,"Епітеліальні клітини [кількість/площу] в осаді сечі, мікроскопія (велике збільшення)",1864
52,Troponin T.cardiac [Mass/volume] in Serum or Plasma,Серцевий тропонін Т [маса/об'єм] у сироватці або плазмі,1728
53,Ketones [Mass/volume] in Urine by Test strip,"Кетонові тіла [маса/об'єм] у сечі, тест-смужка",1716
54,Bilirubin.total [Presence] in Urine by Test strip,"Загальний білірубін [наявність] у сечі, тест-смужка",1704
55,Creatine kinase [Enzymatic activity/volume] in Serum or Plasma,Креатинкіназа (КК) [активність/об'єм] у сироватці або плазмі,1670
56,Albumin [Mass/volume] in Serum or Plasma,Альбумін [маса/об'єм] у сироватці або плазмі,1656
57,Glomerular filtration rate [Volume Rate/Area] in Serum or Plasma by Creatinine-based formula (MDRD)/1.73 sq M,Швидкість клубочкової фільтрації (ШКФ) за формулою MDRD,1656
58,Tidal volume setting Ventilator,Дихальний об'єм — налаштування вентилятора,1603
59,Bilirubin.direct [Mass/volume] in Serum or Plasma,Прямий білірубін [маса/об'єм] у сироватці або плазмі,1440
60,Appearance of Urine,Прозорість сечі,1425
61,Hemoglobin [Presence] in Urine by Test strip,"Гемоглобін [наявність] у сечі, тест-смужка",1420
62,Urobilinogen [Presence] in Urine by Test strip,"Уробіліноген [наявність] у сечі, тест-смужка",1420
63,Platelets [#/volume] in Blood by Manual count,"Тромбоцити [кількість/об'єм] у крові, ручний підрахунок",1376
64,Hematocrit [Volume Fraction] of Blood by calculation,"Гематокрит [об'ємна частка] у крові, розрахунковий",1260
65,Amylase [Enzymatic activity/volume] in Serum or Plasma,Амілаза [активність/об'єм] у сироватці або плазмі,1152
66,Color of Urine,Колір сечі,1140
67,Bacteria [#/area] in Urine sediment by Microscopy high power field,"Бактерії [кількість/площу] в осаді сечі, мікроскопія (велике збільшення)",1090
68,Positive end expiratory pressure setting Ventilator,ПТКВ (PEEP) — налаштування вентилятора,1068
69,Macrocytes [Presence] in Blood by Light microscopy,"Макроцити [наявність] у крові, світлова мікроскопія",1065
70,Lipase [Enzymatic activity/volume] in Serum or Plasma,Ліпаза [активність/об'єм] у сироватці або плазмі,1022
71,Specimen collection [Time] of Urine,Час збору зразка сечі,972
72,Poikilocytosis [Presence] in Blood by Light microscopy,"Пойкілоцитоз [наявність] у крові, світлова мікроскопія",955
73,Yeast [#/area] in Urine sediment by Microscopy high power field,"Дріжджові гриби [кількість/площу] в осаді сечі, мікроскопія (велике збільшення)",932
74,Specific gravity of Urine by Test strip,"Питома вага сечі, тест-смужка",900
75,Polychromasia [Presence] in Blood by Light microscopy,"Поліхромазія [наявність] у крові, світлова мікроскопія",870
76,Hypochromia [Presence] in Blood by Light microscopy,"Гіпохромія [наявність] у крові, світлова мікроскопія",864
77,Glucose [Mass/volume] in Urine by Test strip,"Глюкоза [маса/об'єм] у сечі, тест-смужка",855
78,Nitrite [Presence] in Urine by Test strip,"Нітрити [наявність] у сечі, тест-смужка",852
79,Glucose [Mass/volume] in Blood,Глюкоза [маса/об'єм] у крові,849
80,Phenytoin [Presence] in Serum or Plasma,Фенітоїн [наявність] у сироватці або плазмі,812
81,Microcytes [Presence] in Blood by Light microscopy,"Мікроцити [наявність] у крові, світлова мікроскопія",804
82,Potassium [Moles/volume] in Blood,Калій [моль/об'єм] у крові,768
83,Vancomycin [Mass/volume] in Serum or Plasma,Ванкоміцин [маса/об'єм] у сироватці або плазмі,704
84,Iron binding capacity [Mass/volume] in Serum or Plasma,Загальна залізозв'язуюча здатність (ЗЗЗЗ) у сироватці або плазмі,686
85,Fibrinogen [Mass/volume] in Platelet poor plasma by Coagulation assay,"Фібриноген [маса/об'єм] у плазмі, бідній на тромбоцити — коагуляційний аналіз",650
86,Bilirubin.indirect [Mass/volume] in Serum or Plasma,Непрямий білірубін [маса/об'єм] у сироватці або плазмі,648
87,Anisocytosis [Presence] in Blood by Light microscopy,"Анізоцитоз [наявність] у крові, світлова мікроскопія",645
88,Creatine kinase.MB/Creatine kinase.total in Serum or Plasma,КК-МВ/Загальна КК у сироватці або плазмі,644
89,Alveolar-arterial oxygen Partial pressure difference,Альвеолярно-артеріальний градієнт кисню,640
90,pH of Urine by Test strip,"pH сечі, тест-смужка",600
91,Protein [Mass/volume] in Urine by Test strip,"Білок [маса/об'єм] у сечі, тест-смужка",594
92,Granulocytes [#/volume] in Blood,Гранулоцити [кількість/об'єм] у крові,594
93,Reticulocytes/Erythrocytes in Blood by Automated count,"Ретикулоцити/Еритроцити у крові, автоматичний підрахунок",555
94,Nucleated erythrocytes [#/volume] in Blood by Manual count,"Ядровмісні еритроцити [кількість/об'єм] у крові, ручний підрахунок",528
95,Inhaled oxygen flow rate,Швидкість потоку інгаляційного кисню,528
96,Triglyceride [Mass/volume] in Serum or Plasma --12 hours fasting,Тригліцериди [маса/об'єм] у сироватці або плазмі (натще 12 год),518
97,Hepatitis B virus surface Ag [Presence] in Serum or Plasma by Immunoassay,"HBsAg [наявність] у сироватці або плазмі, імуноаналіз",504
98,Acetaminophen [Presence] in Serum or Plasma,Парацетамол [наявність] у сироватці або плазмі,500
99,Creatinine [Mass/volume] in Urine,Креатинін [маса/об'єм] у сечі,485
100,Urate [Mass/volume] in Serum or Plasma,Сечова кислота [маса/об'єм] у сироватці або плазмі,474
101,Hepatitis B virus surface Ab [Units/volume] in Serum or Plasma by Immunoassay,"Anti-HBs [од/об'єм] у сироватці або плазмі, імуноаналіз",460
102,Hemoglobin A1c/Hemoglobin.total in Blood,Глікований гемоглобін (HbA1c)/Загальний гемоглобін у крові,432
103,Cholesterol.total/Cholesterol in HDL [Percentile],Загальний холестерин/Холестерин ЛПВЩ [перцентиль],408
104,Cortisol [Mass/volume] in Serum or Plasma,Кортизол [маса/об'єм] у сироватці або плазмі,384
105,Thyroxine (T4) free [Mass/volume] in Serum or Plasma,Вільний тироксин (вТ4) [маса/об'єм] у сироватці або плазмі,374
106,Natriuretic peptide.B prohormone N-Terminal [Mass/volume] in Serum or Plasma,NT-proBNP [маса/об'єм] у сироватці або плазмі,341
107,Dacrocytes [Presence] in Blood by Light microscopy,"Дакріоцити [наявність] у крові, світлова мікроскопія",336
108,Sodium [Moles/volume] in Blood,Натрій [моль/об'єм] у крові,321
109,Ovalocytes [Presence] in Blood by Light microscopy,"Овалоцити [наявність] у крові, світлова мікроскопія",320
110,Fibrin+Fibrinogen fragments [Mass/volume] in Platelet poor plasma,"Продукти деградації фібрину/фібриногену [маса/об'єм] у плазмі, бідній на тромбоцити",315
111,"Barbiturates [Presence] in Serum, Plasma or Blood","Барбітурати [наявність] у сироватці, плазмі або крові",312
112,Thyrotropin [Units/volume] in Serum or Plasma,Тиреотропний гормон (ТТГ) [од/об'єм] у сироватці або плазмі,292
113,Cholesterol in HDL [Mass/volume] in Serum or Plasma,Холестерин ЛПВЩ [маса/об'єм] у сироватці або плазмі,288
114,Lymphocytes/Leukocytes in Peritoneal fluid,Лімфоцити/Лейкоцити у перитонеальній рідині,285
115,Sodium [Moles/volume] in Urine,Натрій [моль/об'єм] у сечі,276
116,Osmolality of Urine,Осмоляльність сечі,268
117,Deprecated Cholesterol.in LDL [Mass/volume] in Serum or Plasma,Холестерин ЛПНЩ [маса/об'єм] у сироватці або плазмі (застаріле),264
118,Salicylates [Presence] in Serum or Plasma,Саліцилати [наявність] у сироватці або плазмі,264
119,Urea nitrogen [Mass/volume] in Urine,Азот сечовини [маса/об'єм] у сечі,264
120,Chloride [Moles/volume] in Blood,Хлориди [моль/об'єм] у крові,261
121,Schistocytes [Presence] in Blood by Light microscopy,"Шистоцити [наявність] у крові, світлова мікроскопія",255
122,Granulocytes/Leukocytes in Peritoneal fluid,Гранулоцити/Лейкоцити у перитонеальній рідині,247
123,Mucus [Presence] in Urine sediment by Light microscopy,"Слиз [наявність] в осаді сечі, світлова мікроскопія",244
124,Folate [Mass/volume] in Serum or Plasma,Фолат (фолієва кислота) [маса/об'єм] у сироватці або плазмі,231
125,Platelets Large [Presence] in Blood by Automated count,"Великі тромбоцити [наявність] у крові, автоматичний підрахунок",230
126,Monocytes/Leukocytes in Peritoneal fluid,Моноцити/Лейкоцити у перитонеальній рідині,228
127,PHENobarbital [Presence] in Serum or Plasma,Фенобарбітал [наявність] у сироватці або плазмі,217
128,Hyaline casts [#/area] in Urine sediment by Microscopy low power field,"Гіалінові циліндри [кількість/площу] в осаді сечі, мікроскопія (мале збільшення)",215
129,Erythrocytes [#/volume] in Peritoneal fluid,Еритроцити [кількість/об'єм] у перитонеальній рідині,209
130,Cocaine [Presence] in Urine,Кокаїн [наявність] у сечі,209
131,Methadone [Presence] in Urine,Метадон [наявність] у сечі,209
132,Cholesterol [Mass/volume] in Serum or Plasma,Холестерин [маса/об'єм] у сироватці або плазмі,200
133,Amphetamines [Presence] in Urine,Амфетаміни [наявність] у сечі,190
134,Opiates [Presence] in Urine,Опіати [наявність] у сечі,190
135,Osmolality of Serum or Plasma,Осмоляльність сироватки або плазми,188
136,Burr cells [Presence] in Blood by Light microscopy,"Бур-клітини (ехіноцити) [наявність] у крові, світлова мікроскопія",186
137,Lymphocytes/Leukocytes in Cerebral spinal fluid,Лімфоцити/Лейкоцити у спинномозковій рідині,180
138,Leukocytes [#/volume] in Peritoneal fluid,Лейкоцити [кількість/об'єм] у перитонеальній рідині,171
139,Barbiturates [Presence] in Urine,Барбітурати [наявність] у сечі,171
140,Ethanol [Presence] in Serum or Plasma,Етанол [наявність] у сироватці або плазмі,168
141,Phenytoin Free/Phenytoin.total in Serum or Plasma,Вільний фенітоїн/Загальний фенітоїн у сироватці або плазмі,168
142,Lymphocytes/Leukocytes in Pleural fluid,Лімфоцити/Лейкоцити у плевральній рідині,165
143,Haptoglobin [Mass/volume] in Serum or Plasma,Гаптоглобін [маса/об'єм] у сироватці або плазмі,164
144,Amorphous sediment [Presence] in Urine sediment by Light microscopy,"Аморфний осад [наявність] в осаді сечі, світлова мікроскопія",162
145,Macrophages/Leukocytes in Peritoneal fluid by Manual count,"Макрофаги/Лейкоцити у перитонеальній рідині, ручний підрахунок",156
146,Deprecated Polymorphonuclear cells/100 leukocytes in Cerebral spinal fluid,Поліморфноядерні клітини/100 лейкоцитів у спинномозковій рідині (застаріле),156
147,Protein electrophoresis panel - Serum or Plasma,Панель електрофорезу білків — сироватка або плазма,154
148,Protein Fractions [Interpretation] in Urine by Electrophoresis,"Білкові фракції [інтерпретація] у сечі, електрофорез",152
149,Lymphocytes/Leukocytes in Body fluid,Лімфоцити/Лейкоцити у біологічній рідині,150
150,Prostate specific Ag [Mass/volume] in Serum or Plasma,ПСА (простатспецифічний антиген) [маса/об'єм] у сироватці або плазмі,150
151,Tricyclic antidepressants [Presence] in Serum or Plasma,Трициклічні антидепресанти [наявність] у сироватці або плазмі,144
152,Phenytoin Free [Mass/volume] in Serum or Plasma,Вільний фенітоїн [маса/об'єм] у сироватці або плазмі,144
153,Monocytes/Leukocytes in Cerebral spinal fluid,Моноцити/Лейкоцити у спинномозковій рідині,144
154,Mesothelial cells/Leukocytes in Peritoneal fluid,Мезотеліальні клітини/Лейкоцити у перитонеальній рідині,143
155,Granulocytes/Leukocytes in Pleural fluid,Гранулоцити/Лейкоцити у плевральній рідині,143
156,Ammonia [Moles/volume] in Plasma,Аміак [моль/об'єм] у плазмі,138
157,Deprecated Hepatitis B virus core Ab [Units/volume] in Serum by Immunoassay,"Anti-HBc [од/об'єм] у сироватці, імуноаналіз (застаріле)",133
158,Thyroxine (T4) [Mass/volume] in Serum or Plasma,Тироксин (Т4) [маса/об'єм] у сироватці або плазмі,132
159,Erythrocytes [#/volume] in Cerebral spinal fluid,Еритроцити [кількість/об'єм] у спинномозковій рідині,132
160,Fibrin D-dimer FEU [Mass/volume] in Platelet poor plasma,"D-димер (FEU) [маса/об'єм] у плазмі, бідній на тромбоцити",130
161,Deprecated Polymorphonuclear cells/100 leukocytes in Body fluid,Поліморфноядерні клітини/100 лейкоцитів у біологічній рідині (застаріле),130
162,Benzodiazepines [Presence] in Blood,Бензодіазепіни [наявність] у крові,130
163,Lactate dehydrogenase [Enzymatic activity/volume] in Pleural fluid,ЛДГ [активність/об'єм] у плевральній рідині,128
164,Monocytes/Leukocytes in Pleural fluid,Моноцити/Лейкоцити у плевральній рідині,121
165,Erythrocytes [#/volume] in Pleural fluid,Еритроцити [кількість/об'єм] у плевральній рідині,121
166,Leukocytes [#/volume] in Cerebral spinal fluid,Лейкоцити [кількість/об'єм] у спинномозковій рідині,120
167,Protein/Creatinine [Mass Ratio] in Urine,Білок/Креатинін [масове співвідношення] у сечі,120
168,Deprecated Cobalamin [Mass/volume] in Serum,Кобаламін (вітамін B12) [маса/об'єм] у сироватці (застаріле),114
169,Lactate dehydrogenase [Enzymatic activity/volume] in Peritoneal fluid,ЛДГ [активність/об'єм] у перитонеальній рідині,112
170,Target cells [Presence] in Blood by Light microscopy,"Мішенеподібні еритроцити [наявність] у крові, світлова мікроскопія",110
171,Monocytes/Leukocytes in Body fluid by Manual count,"Моноцити/Лейкоцити у біологічній рідині, ручний підрахунок",110
172,Parathyrin.intact [Mass/volume] in Serum or Plasma,Інтактний паратгормон (іПТГ) [маса/об'єм] у сироватці або плазмі,108
173,Carcinoembryonic Ag [Mass/volume] in Serum or Plasma,Раково-ембріональний антиген (РЕА) [маса/об'єм] у сироватці або плазмі,108
174,Carboxyhemoglobin/Hemoglobin.total in Blood,Карбоксигемоглобін/Загальний гемоглобін у крові,105
175,Spherocytes [Presence] in Blood by Light microscopy,"Сфероцити [наявність] у крові, світлова мікроскопія",104
176,Ferritin [Mass/volume] in Serum or Plasma,Феритин [маса/об'єм] у сироватці або плазмі,100
177,Iron [Mass/volume] in Serum or Plasma,Залізо [маса/об'єм] у сироватці або плазмі,100
178,Basophilic stippling [Presence] in Blood by Light microscopy,"Базофільна зернистість еритроцитів [наявність] у крові, світлова мікроскопія",100
179,Erythrocytes [#/volume] in Body fluid,Еритроцити [кількість/об'єм] у біологічній рідині,99
180,Microscopic observation [Identifier] in Tissue by Wright stain,"Мікроскопія [ідентифікатор] у тканині, фарбування за Райтом",99
181,Leukocytes [#/volume] in Pleural fluid,Лейкоцити [кількість/об'єм] у плевральній рідині,99
182,Cancer Ag 27-29 [Units/volume] in Serum or Plasma,CA 27-29 [од/об'єм] у сироватці або плазмі,99
183,Troponin I.cardiac [Mass/volume] in Serum or Plasma,Серцевий тропонін І [маса/об'єм] у сироватці або плазмі,98
184,Immunofixation for Serum or Plasma Narrative,Імунофіксація сироватки або плазми (текстовий звіт),98
185,Eosinophils [Presence] in Urine sediment by Light microscopy,"Еозинофіли [наявність] в осаді сечі, світлова мікроскопія",98
186,Benzodiazepines [Presence] in Urine,Бензодіазепіни [наявність] у сечі,95
187,Leukocytes [#/volume] in Body fluid,Лейкоцити [кількість/об'єм] у біологічній рідині,90
188,Granular casts [#/area] in Urine sediment by Microscopy low power field,"Зернисті циліндри [кількість/площу] в осаді сечі, мікроскопія (мале збільшення)",90
189,Bicarbonate [Moles/volume] in Blood,Бікарбонат [моль/об'єм] у крові,90
190,TBX5 gene mutations found [Identifier] in Blood or Tissue by Molecular genetics method Nominal,"Мутації гена TBX5 [ідентифікатор] у крові або тканині, молекулярна генетика",88
191,Globulin [Mass/volume] in Serum,Глобулін [маса/об'єм] у сироватці,78
192,Potassium [Moles/volume] in Urine,Калій [моль/об'єм] у сечі,78
193,Macrophages/Leukocytes in Pleural fluid by Manual count,"Макрофаги/Лейкоцити у плевральній рідині, ручний підрахунок",78
194,Mesothelial cells/Leukocytes in Pleural fluid,Мезотеліальні клітини/Лейкоцити у плевральній рідині,77
195,Chloride [Moles/volume] in Urine,Хлориди [моль/об'єм] у сечі,75
196,Valproate [Mass/volume] in Serum or Plasma,Вальпроат (вальпроєва кислота) [маса/об'єм] у сироватці або плазмі,75
197,Digoxin [Mass/volume] in Serum or Plasma,Дигоксин [маса/об'єм] у сироватці або плазмі,72
198,Thyroxine (T4)/Thyroxine binding globulin [Mass Ratio] in Serum or Plasma,Т4/Тироксинзв'язуючий глобулін [масове співвідношення] у сироватці або плазмі,72
199,Eosinophils/Leukocytes in Peritoneal fluid,Еозинофіли/Лейкоцити у перитонеальній рідині,70
200,Epithelial cells.renal [#/area] in Urine sediment by Microscopy high power field,"Ниркові епітеліальні клітини [кількість/площу] в осаді сечі, мікроскопія (велике збільшення)",70
201,Leukocytes other [#/volume] in Blood by Manual count,"Інші лейкоцити [кількість/об'єм] у крові, ручний підрахунок",66
202,Methemoglobin/Hemoglobin.total in Blood,Метгемоглобін/Загальний гемоглобін у крові,65
203,Hepatitis C virus Ab [Presence] in Serum,Anti-HCV [наявність] у сироватці,63
204,Promyelocytes [#/volume] in Blood by Manual count,"Промієлоцити [кількість/об'єм] у крові, ручний підрахунок",63
205,Microalbumin/Creatinine [Mass Ratio] in 24 hour Urine,Мікроальбумін/Креатинін [масове співвідношення] у добовій сечі,63
206,Macrophages/Leukocytes in Body fluid by Manual count,"Макрофаги/Лейкоцити у біологічній рідині, ручний підрахунок",60
207,Triiodothyronine (T3) [Mass/volume] in Serum or Plasma,Трийодтиронін (Т3) [маса/об'єм] у сироватці або плазмі,60
208,Lutropin [Mass/volume] in Serum or Plasma --baseline,Лютеїнізуючий гормон (ЛГ) [маса/об'єм] у сироватці або плазмі (базальний),60
209,Thyroxine (T4) free index in Serum or Plasma by calculation,"Індекс вільного тироксину (Т4) у сироватці або плазмі, розрахунковий",60
210,Protein [Mass/volume] in Serum or Plasma,Загальний білок [маса/об'єм] у сироватці або плазмі,58
211,Immunofixation for Urine Narrative,Імунофіксація сечі (текстовий звіт),56
212,Alpha-1-Fetoprotein [Mass/volume] in Serum or Plasma,Альфа-фетопротеїн (АФП) [маса/об'єм] у сироватці або плазмі,56
213,Transitional cells [#/area] in Urine sediment by Microscopy high power field,"Перехідні епітеліальні клітини [кількість/площу] в осаді сечі, мікроскопія (велике збільшення)",55
214,Lymphocytes/Leukocytes in Synovial fluid,Лімфоцити/Лейкоцити у синовіальній рідині,54
215,Protein [Presence] in Urine,Білок [наявність] у сечі,51
216,Granulocytes/Leukocytes in Synovial fluid,Гранулоцити/Лейкоцити у синовіальній рідині,50
217,Plasma cells/Leukocytes in Blood,Плазматичні клітини/Лейкоцити у крові,48
218,IgG [Mass/volume] in Serum or Plasma,Імуноглобулін G (IgG) [маса/об'єм] у сироватці або плазмі,46
219,Hepatitis B virus core IgM Ab [Presence] in Serum,Anti-HBc IgM [наявність] у сироватці,45
220,Hepatitis A virus Ab [Units/volume] in Serum or Plasma by Immunoassay,"Anti-HAV [од/об'єм] у сироватці або плазмі, імуноаналіз",45
221,Glucose [Mass/volume] in Cerebral spinal fluid,Глюкоза [маса/об'єм] у спинномозковій рідині,44
222,Microscopic observation [Identifier] in Bone marrow by Wright Giemsa stain,"Мікроскопія [ідентифікатор] у кістковому мозку, фарбування за Райтом-Гімзою",44
223,Monocytes/Leukocytes in Synovial fluid,Моноцити/Лейкоцити у синовіальній рідині,44
224,Urate crystals [Presence] in Urine sediment by Light microscopy,"Кристали уратів [наявність] в осаді сечі, світлова мікроскопія",42
225,Gamma glutamyl transferase [Enzymatic activity/volume] in Serum or Plasma,Гамма-глутамілтрансфераза (ГГТ) [активність/об'єм] у сироватці або плазмі,42
226,Coagulation factor VIII activity actual/normal in Platelet poor plasma by Coagulation assay,"Активність фактора згортання VIII акт./норм. у плазмі, бідній на тромбоцити",42
227,Prolactin [Mass/volume] in Serum or Plasma,Пролактин [маса/об'єм] у сироватці або плазмі,42
228,Eosinophils/Leukocytes in Body fluid,Еозинофіли/Лейкоцити у біологічній рідині,42
229,Eosinophils/Leukocytes in Pleural fluid,Еозинофіли/Лейкоцити у плевральній рідині,42
230,Nuclear Ab [Units/volume] in Serum by Immunoassay,"Антинуклеарні антитіла (ANA) [од/об'єм] у сироватці, імуноаналіз",42
231,Leukocytes [#/volume] in Synovial fluid,Лейкоцити [кількість/об'єм] у синовіальній рідині,42
232,Triiodothyronine resin uptake (T3RU) in Serum or Plasma,Поглинання трийодтироніну смолою (T3RU) у сироватці або плазмі,42
233,LMW Heparin [Units/volume] in Platelet poor plasma,"НМГ (низькомолекулярний гепарин) [од/об'єм] у плазмі, бідній на тромбоцити",40
234,Amylase [Enzymatic activity/volume] in Peritoneal fluid,Амілаза [активність/об'єм] у перитонеальній рідині,40
235,Erythrocyte [Sedimentation Rate] in Blood by Westergren method,ШОЕ у крові (метод Вестергрена),39
236,CD45 (Lymphs) cells/cells in Body fluid,CD45 (лімфоцити) клітини/клітини у біологічній рідині,39
237,CD45 (Lymphs) cells/cells in Blood,CD45 (лімфоцити) клітини/клітини у крові,39
238,Gentamicin [Mass/volume] in Serum or Plasma,Гентаміцин [маса/об'єм] у сироватці або плазмі,36
239,Fragments [Presence] in Blood by Light microscopy,"Фрагменти еритроцитів [наявність] у крові, світлова мікроскопія",36
240,CD10 cells/cells in Body fluid,CD10 клітини/клітини у біологічній рідині,36
241,CD10 cells/cells in Blood,CD10 клітини/клітини у крові,36
242,Tobramycin [Mass/volume] in Serum or Plasma,Тобраміцин [маса/об'єм] у сироватці або плазмі,36
243,Albumin [Mass/volume] in Peritoneal fluid,Альбумін [маса/об'єм] у перитонеальній рідині,33
244,Protein [Mass/volume] in Cerebral spinal fluid,Білок [маса/об'єм] у спинномозковій рідині,33
245,Deprecated CD4 cells [#/volume] in Blood,CD4 клітини [кількість/об'єм] у крові (застаріле),33
246,CD15 cells/cells in Blood,CD15 клітини/клітини у крові,32
247,Lactate dehydrogenase [Enzymatic activity/volume] in Cerebral spinal fluid,ЛДГ [активність/об'єм] у спинномозковій рідині,32
248,Mitochondria Ab [Presence] in Serum,Антимітохондріальні антитіла (AMA) [наявність] у сироватці,32
249,Volume of Urine,Об'єм сечі,30
250,von Willebrand factor (vWf) Ag [Units/volume] in Platelet poor plasma by Immunoassay,"Антиген фактора фон Віллебранда (vWF Ag) [од/об'єм] у плазмі, імуноаналіз",30
251,Blasts [#/volume] in Blood by Manual count,"Бласти [кількість/об'єм] у крові, ручний підрахунок",30
